id,name,height_cm,weight_kg,type_list,abilities,evolutions,page_url
0019,Rattata,0.3 m (1′00″),3.5 kg (7.7 lbs),"Normal, Dark, Normal, Route 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 18, 21, 22, Pokémon Mansion","[{'name': 'Run Away', 'url': 'https://pokemondb.net/ability/run-away'}, {'name': 'Guts', 'url': 'https://pokemondb.net/ability/guts'}, {'name': 'Hustle', 'url': 'https://pokemondb.net/ability/hustle'}, {'name': 'Gluttony', 'url': 'https://pokemondb.net/ability/gluttony'}, {'name': 'Hustle', 'url': 'https://pokemondb.net/ability/hustle'}, {'name': 'Thick Fat', 'url': 'https://pokemondb.net/ability/thick-fat'}]","[{'id': '', 'name': 'Rattata', 'url': 'https://pokemondb.net/pokedex/rattata'}, {'id': '', 'name': 'Raticate', 'url': 'https://pokemondb.net/pokedex/raticate'}, {'id': '', 'name': 'Rattata', 'url': 'https://pokemondb.net/pokedex/rattata'}, {'id': '', 'name': 'Raticate', 'url': 'https://pokemondb.net/pokedex/raticate'}]",https://pokemondb.net//pokedex/rattata
0020,Raticate,0.7 m (2′04″),18.5 kg (40.8 lbs),"Normal, Dark, Normal, Route 9, 10, 11, 16, 18, 21, Pokémon Mansion","[{'name': 'Run Away', 'url': 'https://pokemondb.net/ability/run-away'}, {'name': 'Guts', 'url': 'https://pokemondb.net/ability/guts'}, {'name': 'Hustle', 'url': 'https://pokemondb.net/ability/hustle'}, {'name': 'Gluttony', 'url': 'https://pokemondb.net/ability/gluttony'}, {'name': 'Hustle', 'url': 'https://pokemondb.net/ability/hustle'}, {'name': 'Thick Fat', 'url': 'https://pokemondb.net/ability/thick-fat'}]","[{'id': '', 'name': 'Rattata', 'url': 'https://pokemondb.net/pokedex/rattata'}, {'id': '', 'name': 'Raticate', 'url': 'https://pokemondb.net/pokedex/raticate'}, {'id': '', 'name': 'Rattata', 'url': 'https://pokemondb.net/pokedex/rattata'}, {'id': '', 'name': 'Raticate', 'url': 'https://pokemondb.net/pokedex/raticate'}]",https://pokemondb.net//pokedex/raticate
0017,Pidgeotto,1.1 m (3′07″),30.0 kg (66.1 lbs),"Normal, Flying, Route 5, 6, 7, 8, 11, 12, 13, 14, 15, 21, 24, 25, Viridian Forest","[{'name': 'Keen Eye', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'name': 'Tangled Feet', 'url': 'https://pokemondb.net/ability/tangled-feet'}, {'name': 'Big Pecks', 'url': 'https://pokemondb.net/ability/big-pecks'}]","[{'id': '', 'name': 'Pidgey', 'url': 'https://pokemondb.net/pokedex/pidgey'}, {'id': '', 'name': 'Pidgeotto', 'url': 'https://pokemondb.net/pokedex/pidgeotto'}, {'id': '', 'name': 'Pidgeot', 'url': 'https://pokemondb.net/pokedex/pidgeot'}]",https://pokemondb.net//pokedex/pidgeotto
0022,Fearow,1.2 m (3′11″),38.0 kg (83.8 lbs),"Normal, Flying, Route 9, 16, 17, 18, 23","[{'name': 'Keen Eye', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'name': 'Sniper', 'url': 'https://pokemondb.net/ability/sniper'}]","[{'id': '', 'name': 'Spearow', 'url': 'https://pokemondb.net/pokedex/spearow'}, {'id': '', 'name': 'Fearow', 'url': 'https://pokemondb.net/pokedex/fearow'}]",https://pokemondb.net//pokedex/fearow
0001,Bulbasaur,0.7 m (2′04″),6.9 kg (15.2 lbs),"Grass, Poison, Cerulean City","[{'name': 'Overgrow', 'url': 'https://pokemondb.net/ability/overgrow'}, {'name': 'Chlorophyll', 'url': 'https://pokemondb.net/ability/chlorophyll'}]","[{'id': '', 'name': 'Bulbasaur', 'url': 'https://pokemondb.net/pokedex/bulbasaur'}, {'id': '', 'name': 'Ivysaur', 'url': 'https://pokemondb.net/pokedex/ivysaur'}, {'id': '', 'name': 'Venusaur', 'url': 'https://pokemondb.net/pokedex/venusaur'}]",https://pokemondb.net//pokedex/bulbasaur
0014,Kakuna,0.6 m (2′00″),10.0 kg (22.0 lbs),"Bug, Poison, Route 25, Viridian Forest","[{'name': 'Shed Skin', 'url': 'https://pokemondb.net/ability/shed-skin'}]","[{'id': '', 'name': 'Weedle', 'url': 'https://pokemondb.net/pokedex/weedle'}, {'id': '', 'name': 'Kakuna', 'url': 'https://pokemondb.net/pokedex/kakuna'}, {'id': '', 'name': 'Beedrill', 'url': 'https://pokemondb.net/pokedex/beedrill'}]",https://pokemondb.net//pokedex/kakuna
0012,Butterfree,1.1 m (3′07″),32.0 kg (70.5 lbs),"Bug, Flying, Route 2, 26, 27, 34, 35, 36, 37, 38, 39, Azalea Town, Ilex Forest, Lake of Rage, National Park","[{'name': 'Compound Eyes', 'url': 'https://pokemondb.net/ability/compound-eyes'}, {'name': 'Tinted Lens', 'url': 'https://pokemondb.net/ability/tinted-lens'}]","[{'id': '', 'name': 'Caterpie', 'url': 'https://pokemondb.net/pokedex/caterpie'}, {'id': '', 'name': 'Metapod', 'url': 'https://pokemondb.net/pokedex/metapod'}, {'id': '', 'name': 'Butterfree', 'url': 'https://pokemondb.net/pokedex/butterfree'}]",https://pokemondb.net//pokedex/butterfree
0011,Metapod,0.7 m (2′04″),9.9 kg (21.8 lbs),"Bug, Route 24, 25, Viridian Forest","[{'name': 'Shed Skin', 'url': 'https://pokemondb.net/ability/shed-skin'}]","[{'id': '', 'name': 'Caterpie', 'url': 'https://pokemondb.net/pokedex/caterpie'}, {'id': '', 'name': 'Metapod', 'url': 'https://pokemondb.net/pokedex/metapod'}, {'id': '', 'name': 'Butterfree', 'url': 'https://pokemondb.net/pokedex/butterfree'}]",https://pokemondb.net//pokedex/metapod
0021,Spearow,0.3 m (1′00″),2.0 kg (4.4 lbs),"Normal, Flying, Route 3, 4, 9, 16, 18, 22","[{'name': 'Keen Eye', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'name': 'Sniper', 'url': 'https://pokemondb.net/ability/sniper'}]","[{'id': '', 'name': 'Spearow', 'url': 'https://pokemondb.net/pokedex/spearow'}, {'id': '', 'name': 'Fearow', 'url': 'https://pokemondb.net/pokedex/fearow'}]",https://pokemondb.net//pokedex/spearow
0018,Pidgeot,1.5 m (4′11″),39.5 kg (87.1 lbs),"Normal, Flying, Normal, Flying","[{'name': 'Keen Eye', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'name': 'Tangled Feet', 'url': 'https://pokemondb.net/ability/tangled-feet'}, {'name': 'Big Pecks', 'url': 'https://pokemondb.net/ability/big-pecks'}, {'name': 'No Guard', 'url': 'https://pokemondb.net/ability/no-guard'}]","[{'id': '', 'name': 'Pidgey', 'url': 'https://pokemondb.net/pokedex/pidgey'}, {'id': '', 'name': 'Pidgeotto', 'url': 'https://pokemondb.net/pokedex/pidgeotto'}, {'id': '', 'name': 'Pidgeot', 'url': 'https://pokemondb.net/pokedex/pidgeot'}]",https://pokemondb.net//pokedex/pidgeot
0016,Pidgey,0.3 m (1′00″),1.8 kg (4.0 lbs),"Normal, Flying, Route 1, 2, 5, 6, 7, 8, 11, 12, 13, 21, 24, 25, Viridian Forest","[{'name': 'Keen Eye', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'name': 'Tangled Feet', 'url': 'https://pokemondb.net/ability/tangled-feet'}, {'name': 'Big Pecks', 'url': 'https://pokemondb.net/ability/big-pecks'}]","[{'id': '', 'name': 'Pidgey', 'url': 'https://pokemondb.net/pokedex/pidgey'}, {'id': '', 'name': 'Pidgeotto', 'url': 'https://pokemondb.net/pokedex/pidgeotto'}, {'id': '', 'name': 'Pidgeot', 'url': 'https://pokemondb.net/pokedex/pidgeot'}]",https://pokemondb.net//pokedex/pidgey
0009,Blastoise,1.6 m (5′03″),85.5 kg (188.5 lbs),"Water, Water","[{'name': 'Torrent', 'url': 'https://pokemondb.net/ability/torrent'}, {'name': 'Rain Dish', 'url': 'https://pokemondb.net/ability/rain-dish'}, {'name': 'Mega Launcher', 'url': 'https://pokemondb.net/ability/mega-launcher'}]","[{'id': '', 'name': 'Squirtle', 'url': 'https://pokemondb.net/pokedex/squirtle'}, {'id': '', 'name': 'Wartortle', 'url': 'https://pokemondb.net/pokedex/wartortle'}, {'id': '', 'name': 'Blastoise', 'url': 'https://pokemondb.net/pokedex/blastoise'}]",https://pokemondb.net//pokedex/blastoise
